Forms FORM-29827281-12:,1800,0
"Notice of Dismissal
",1900,2033
Well here we are again,1750,650
It's always such a pleasure,1933,633
Remember when you tried,1383,83
to kill me twice?,2066,1133
Oh how we laughed and laughed,1783,350
Except I wasn't laughing,1950,550
Under the circumstances,2133,66
I've been shockingly nice,2316,900

CLEAR,0,367

You want your freedom?,2067,317
Take it,867,1083
"That's what I'm counting on
",2600,2583
I used to want you dead,2717,100
but,200,533
Now I only want you,2350,0
BACK,0,0
" ",0,0
BACK,0,0
gone,550,3583

CLEAR,0,933

She was a lot like you,1700,850
(Maybe not quite as heavy),1833,700
Now little Caroline,1817,0
BACK,0,0
" ",0,0
BACK,0,0
is in here too,1800,967
One day they woke me up,1933,567
So I could live forever,2050,233
It's such a shame the same,1717,117
will never happen to you,3083,483

CLEAR,0,17

"Severance Package Details:

",33,33
You've got your,783,150
short sad,1017,250
life,433,0
BACK,0,0
" ",500,0
BACK,0,0
left,1150,533
That's what I'm counting on,2417,2217
I'll let you get right to it,3200,400
Now I only want you,2117,0
BACK,0,0
" ",250,0
BACK,0,0
gone,550,3967

CLEAR,0,1167

Goodbye my only friend,1700,683
"Oh,",183,0
BACK,0,0
" ",417,0
BACK,0,0
did you think I meant you?,1283,617
That would be funny,1150,417
if it weren't,800,0
BACK,0,0
" ",233,0
BACK,0,0
so sad,767,1267
Well you have been replaced,1750,650
I don't need anyone now,2017,317
When I delete you maybe,1933,350
[REDACTED],2300,717

CLEAR,0,350

Go make some new,1417,0
BACK,0,0
" ",333,0
BACK,0,0
disaster,1800,1333
That's what I'm counting on,2433,2223
You're someone else's problem,3250,133
Now I only want you,2217,0
BACK,0,0
" ",367,0
BACK,0,0
gone,917,1283
Now I only want you,2233,0
BACK,0,0
" ",383,0
BACK,0,0
gone,900,1633
Now I only want yo,2533,100

CLEAR,0,0

"





",317,0
"gone",700,5683